latitude,longitude,altitude,geometry,coordinates,@id,piste:difficulty,piste:type,type,access,area,leisure,name,route,note,source,piste:grooming,website,fixme,lit,comment,piste:ref,bridge,layer,piste:name,piste:alt_name,highway,sac_scale,service,piste:old_name,tunnel,abandoned,material,old_name,piste:old_ref,trail_visibility,oneway,tracktype,piste:abandoned,closed,piste:patrolled,cycleway:right,description,lane_markings,surface,short_name,piste:oneway,oneway:track,lanes,railway,ele:local,bicycle,foot,sidewalk,FIXME,structure,@relations,sport
,,,Polygon,"6.5733526,45.3384318,6.5730867,45.3380771,6.5732013,45.3380955,6.5732648,45.3378756,6.5731672,45.3372568,6.5729749,45.3366958,6.5727762,45.3364047,6.5724696,45.3359985,6.5723281,45.3356919,6.5725381,45.3354859,6.5721845,45.335525,6.5719534,45.3354,6.5714945,45.3350698,6.5710494,45.3348534,6.5708819,45.3348397,6.5710905,45.3346033,6.5711185,45.3347055,6.5712413,45.3347463,6.5714988,45.3348856,6.5719168,45.3351267,6.5722432,45.3352556,6.5724616,45.3351886,6.5726235,45.3350776,6.5727861,45.3347257,6.5731297,45.3342393,6.5733076,45.3340477,6.5734903,45.3338698,6.5736575,45.3337613,6.5738189,45.3337325,6.5743416,45.333776,6.5746288,45.3337793,6.5748738,45.3337334,6.5753078,45.33345,6.5756511,45.3331709,6.5758857,45.3326522,6.5759892,45.332153,6.5762076,45.3316564,6.5764326,45.3314356,6.5766402,45.3312812,6.5768017,45.3313083,6.5772081,45.3315929,6.5775693,45.331981,6.5780808,45.3325005,6.5811357,45.333905,6.5813034,45.333998,6.5810032,45.3343173,6.5805514,45.3340799,6.5780338,45.3330257,6.5774009,45.3326287,6.5768446,45.3322056,6.5764497,45.3319575,6.5762636,45.3320846,6.576146,45.3327753,6.576002,45.3331276,6.5757288,45.3334933,6.5754702,45.3337242,6.5750863,45.3339535,6.5748637,45.3340317,6.5745835,45.3340286,6.5741779,45.3340258,6.5738962,45.3341013,6.5736291,45.3343066,6.5733394,45.334676,6.5729868,45.3354734,6.5730063,45.3358365,6.5731173,45.3362203,6.5734991,45.3370236,6.573594,45.3374117,6.5735881,45.3377854,6.5735512,45.3380272,6.5734483,45.3382009,6.5733526,45.3384318",way/45182223,intermediate,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5716461,45.3373513,6.5710724,45.3369311,6.5706224,45.3366152,6.5704405,45.3364046,6.5703656,45.3361873,6.5701422,45.3352933,6.5701336,45.3352588,6.5703406,45.335082,6.5705634,45.3349252,6.5705888,45.3350709,6.5707521,45.3358675,6.5708553,45.3363107,6.5711205,45.3365497,6.5721672,45.3372844,6.5724633,45.337607,6.5716461,45.3373513",way/45182224,intermediate,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5547509,45.3304286,6.5544074,45.33013,6.5540173,45.3298323,6.5538069,45.3295186,6.5536011,45.328778,6.5535211,45.3282282,6.553622,45.327185,6.5536892,45.3267625,6.5535917,45.326474,6.5535188,45.3260577,6.5532056,45.3257137,6.5538125,45.3254631,6.554189,45.3259858,6.5542372,45.3262297,6.5542284,45.3263649,6.5542117,45.3266217,6.5541818,45.3267056,6.5540215,45.3272261,6.5540118,45.3277185,6.5539164,45.3282064,6.5539248,45.3288913,6.5541405,45.3294504,6.5544831,45.3298518,6.5551695,45.3302577,6.5549685,45.3304779,6.5547509,45.3304286",way/45182423,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.553622,45.327185,6.5531945,45.3271006,6.5529625,45.3270548,6.5525296,45.3269038,6.5523478,45.3267543,6.5523131,45.3265859,6.5523982,45.3263658,6.5527156,45.326398,6.5528308,45.3264859,6.5526768,45.3264564,6.5525437,45.3264535,6.5525901,45.3266088,6.5526467,45.3266793,6.5527411,45.3267496,6.5532879,45.3268284,6.5535707,45.3268501,6.5536892,45.3267625,6.553622,45.327185",way/45182425,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5538125,45.3254631,6.5532056,45.3257137,6.5529892,45.3254516,6.5528646,45.3252564,6.5521295,45.3243385,6.5515634,45.3233428,6.5513468,45.3224107,6.5509084,45.3213817,6.5517789,45.3210534,6.5518669,45.3216849,6.5520008,45.3223118,6.5521382,45.3228837,6.5523827,45.3235054,6.5529665,45.3241948,6.5534493,45.324877,6.5538125,45.3254631",way/45182703,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5727547,45.3389118,6.5727703,45.3386311,6.5727826,45.3383476,6.5725467,45.3384038,6.5726558,45.338253,6.5716461,45.3373513,6.5724633,45.337607,6.5727703,45.3378436,6.5730867,45.3380771,6.5733526,45.3384318,6.5732324,45.3387385,6.5727547,45.3389118",way/45182944,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5824407,45.3363047,6.5823101,45.3363839,6.5821453,45.3369287,6.5823094,45.3371926,6.5827131,45.3374391,6.5843738,45.3375017,6.5845239,45.3374408,6.5847901,45.3374959,6.585085,45.337627,6.5860163,45.338153,6.586703,45.3385779,6.5870295,45.3387739,6.5872065,45.3389049,6.5876628,45.3392188,6.5880487,45.3395815,6.5883244,45.3398527,6.5884481,45.3400121,6.5886231,45.340179,6.5889251,45.3404488,6.5899604,45.3412651,6.5901854,45.3412645,6.5900396,45.3413513,6.5906028,45.3418433,6.5907118,45.3420926,6.590554,45.3421214,6.5902644,45.3418631,6.5900746,45.3418745,6.5896402,45.3419073,6.5889051,45.3408602,6.5883747,45.3405809,6.5880435,45.3403452,6.5869014,45.3396004,6.5866468,45.3391267,6.5864488,45.3389108,6.5860872,45.3386961,6.5856334,45.3382873,6.5849324,45.3378507,6.5845267,45.3377597,6.583789,45.3377885,6.5833246,45.337826,6.5829378,45.3377916,6.5823663,45.3377443,6.5819734,45.3376397,6.5815785,45.3371923,6.5819276,45.3364022,6.5814651,45.3363102,6.581458,45.3361172,6.5816755,45.3361109,6.5818017,45.3361082,6.5820898,45.3360831,6.5824407,45.3363047",way/45184567,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5800586,45.342256,6.5796869,45.3422463,6.579816,45.3419338,6.5795951,45.3413289,6.5795894,45.340972,6.5797596,45.3405183,6.5802674,45.3401209,6.5807345,45.3397195,6.5808121,45.3394366,6.580834,45.3388299,6.5806664,45.3383159,6.5805824,45.3380749,6.5806066,45.3378355,6.5807286,45.3371865,6.5809348,45.3365501,6.581256,45.3362254,6.581458,45.3361172,6.5814651,45.3363102,6.581385,45.3363809,6.5811246,45.3365734,6.5810167,45.3368868,6.5808905,45.337359,6.5808569,45.3378257,6.5812913,45.3388801,6.581319,45.3394415,6.5812209,45.3397403,6.5810681,45.339947,6.5807645,45.3401216,6.5801437,45.3405564,6.5800027,45.3407179,6.5799055,45.3408769,6.5798457,45.3411376,6.580081,45.3418465,6.5800586,45.342256",way/45184568,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5815766,45.335269,6.5812566,45.3347968,6.5810032,45.3343173,6.5813034,45.333998,6.581692,45.3341265,6.5818127,45.3345802,6.5820357,45.3348376,6.5824267,45.335399,6.5825493,45.3359942,6.5824407,45.3363047,6.5820898,45.3360831,6.5820662,45.3359945,6.581891,45.3356587,6.5815766,45.335269",way/45184570,intermediate,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5800586,45.342256,6.5802827,45.3422639,6.5802883,45.3428546,6.5800559,45.3429958,6.5795487,45.3430554,6.5792234,45.3430502,6.5791517,45.3429065,6.5787897,45.3429307,6.5791514,45.3426081,6.5778222,45.3433528,6.5774816,45.3435459,6.577722,45.3432213,6.5786284,45.3425186,6.5794104,45.342033,6.5795606,45.3421731,6.5795713,45.3422651,6.5796394,45.3423017,6.5796869,45.3422463,6.5800586,45.342256",way/45184572,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5804231,45.3574462,6.5803781,45.3581213,6.5802931,45.3588176,6.5801258,45.3597266,6.5798318,45.360364,6.5796691,45.3608138,6.579588,45.3610209,6.5794902,45.3612738,6.57939,45.3614422,6.5790751,45.3620645,6.5787238,45.3625408,6.5784049,45.36287,6.5782878,45.3632322,6.5782405,45.3638831,6.5783532,45.364269,6.5784993,45.3651074,6.5782863,45.3658649,6.5782973,45.3668387,6.5782212,45.367806,6.5782785,45.3680919,6.578821,45.3686164,6.5789869,45.3688935,6.5789965,45.3691723,6.578926,45.3694716,6.578772,45.3698982,6.5783201,45.3705604,6.5783023,45.3708478,6.5778128,45.3707701,6.5778176,45.3705454,6.5778762,45.3699964,6.5782893,45.369416,6.5784879,45.3691916,6.5785494,45.3691164,6.5785659,45.3690454,6.5785092,45.3688544,6.5782571,45.3686735,6.5779274,45.3683059,6.5777889,45.3679032,6.5778415,45.366539,6.5778414,45.3655841,6.5779482,45.3646379,6.577707,45.3636607,6.5775265,45.3630955,6.5775981,45.3627099,6.5778749,45.3622372,6.5781471,45.3620035,6.578438,45.3617543,6.5785771,45.361526,6.5791634,45.3605639,6.5794318,45.3601312,6.5797535,45.3597163,6.579898,45.3593534,6.5800075,45.3585453,6.5800569,45.3578984,6.579895,45.3573235,6.5804231,45.3574462",way/45184574,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5781454,45.3706646,6.5786349,45.3707423,6.5785237,45.3713199,6.5787554,45.3715055,6.5789448,45.3716753,6.5792698,45.371616,6.5794432,45.3715799,6.579718,45.3715573,6.5802448,45.3714193,6.5808504,45.3713224,6.5813652,45.3718456,6.5808544,45.3720062,6.5808543,45.3721051,6.5807668,45.3728211,6.580329,45.3727498,6.5801367,45.3727185,6.5790469,45.3726058,6.5785817,45.3725167,6.5783881,45.3721546,6.577727,45.3712744,6.5781454,45.3706646",way/45184576,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.6017645,45.29548,6.6010972,45.29533,6.6007405,45.2953696,6.6005385,45.2953961,6.6000734,45.2954561,6.5996123,45.295557,6.5991201,45.2957396,6.5988372,45.2959195,6.5983411,45.296064,6.597659,45.296184,6.5967367,45.2963285,6.5959422,45.2963803,6.5956006,45.29664,6.5948494,45.2963101,6.5940549,45.2962153,6.5930783,45.2960368,6.5917064,45.2958323,6.5904726,45.2957266,6.5904605,45.2956229,6.590302,45.2955757,6.5898244,45.2953525,6.5898403,45.2951323,6.5906511,45.2952113,6.5911615,45.2952817,6.5917292,45.2953679,6.5927878,45.2956009,6.5938903,45.2956435,6.5949003,45.2957939,6.5959384,45.2958943,6.5967988,45.295947,6.5974421,45.2958832,6.598437,45.2956815,6.5992833,45.2954088,6.5998569,45.2952889,6.6004531,45.2952001,6.6006978,45.2951826,6.6010665,45.2951126,6.6017645,45.29548",way/46711813,advanced,downhill,,,yes,,Stade Yannick Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5883982,45.293612,6.5891657,45.2937423,6.58968,45.2938551,6.5908283,45.2941612,6.5912908,45.2942013,6.5916697,45.2942228,6.5920421,45.294231,6.5928562,45.2942046,6.5935505,45.2941135,6.5940531,45.2940087,6.594437,45.2938883,6.5949569,45.2937334,6.5955917,45.2935229,6.5957562,45.2933853,6.5958414,45.2933356,6.5959241,45.2932873,6.5961424,45.2931699,6.5963937,45.2930559,6.5969016,45.2928314,6.5977723,45.2926116,6.5989945,45.2923809,6.5998919,45.2923617,6.6008858,45.2924491,6.601519,45.2925134,6.6021011,45.2926345,6.6029366,45.2928326,6.6036596,45.2929699,6.6037272,45.2930098,6.6037582,45.2930646,6.6037697,45.2931551,6.6037108,45.2932045,6.6036382,45.2932407,6.6035275,45.2932321,6.6032373,45.2931204,6.6024908,45.292904,6.6012854,45.2926929,6.6007025,45.2926196,6.5999421,45.2926448,6.5991986,45.2927456,6.5980313,45.2929298,6.5974506,45.2930766,6.5970689,45.2932164,6.5962602,45.2935568,6.5959931,45.2936885,6.5955873,45.2938973,6.594992,45.2942768,6.5942542,45.2945102,6.5934016,45.2946432,6.5924343,45.294737,6.5917258,45.2947174,6.5914916,45.2946675,6.5912778,45.2945952,6.5910303,45.2944988,6.5907012,45.2943706,6.5903911,45.2942855,6.5897494,45.2941765,6.5886953,45.2940544,6.5883503,45.29398,6.5883982,45.293612",way/46717669,intermediate,downhill,,,yes,,Béranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.6146971,45.2914057,6.614767,45.2913748,6.6148477,45.2913456,6.6150477,45.2913043,6.6151906,45.2913087,6.6153064,45.2913489,6.6153763,45.2914517,6.6155525,45.2917778,6.6156563,45.2919826,6.6156938,45.2922066,6.6156985,45.2923741,6.6156414,45.292555,6.6155096,45.2928654,6.6155098,45.2930383,6.6155637,45.2932685,6.6155782,45.2935558,6.6156024,45.2938724,6.6155812,45.2940435,6.6155394,45.294215,6.6154175,45.2944613,6.6152775,45.2946643,6.6151958,45.294762,6.6151445,45.2947905,6.6148863,45.2949015,6.614708,45.2949612,6.6141397,45.2950362,6.6136757,45.2952104,6.6133785,45.2953916,6.6128416,45.2956872,6.6124157,45.295876,6.6120958,45.2960022,6.6113069,45.2962132,6.6110174,45.2961908,6.6108777,45.2961696,6.6106713,45.2961115,6.6104681,45.2959787,6.6102046,45.2957207,6.6100281,45.2955825,6.6097865,45.2954846,6.6096421,45.2954311,6.6093534,45.2953679,6.6090167,45.2953465,6.6088639,45.2953368,6.6082532,45.2952663,6.6076183,45.295231,6.6070943,45.295164,6.6063199,45.2950676,6.606034,45.295035,6.6057933,45.2949692,6.6053727,45.2948587,6.6050679,45.2947157,6.6048501,45.2946188,6.6045103,45.294402,6.6043093,45.2941273,6.6040425,45.2937007,6.6037392,45.2933448,6.6036382,45.2932407,6.6037108,45.2932045,6.6037697,45.2931551,6.6042246,45.2934653,6.604505,45.2938759,6.6047708,45.2941623,6.6051807,45.2943928,6.6055002,45.2945519,6.6061265,45.2947561,6.6068203,45.2948469,6.6078968,45.2949766,6.6089764,45.2950673,6.6094983,45.2951544,6.6100277,45.2953693,6.6101847,45.2954853,6.6103274,45.2956359,6.6106818,45.2958548,6.6108912,45.295938,6.6110903,45.2959818,6.6112697,45.2959986,6.6114422,45.2959939,6.6116084,45.2959473,6.6119105,45.2958386,6.6125395,45.2955999,6.6129938,45.2953612,6.6141464,45.2947571,6.6148301,45.2943809,6.6150455,45.2942007,6.6151179,45.2938191,6.6150917,45.2933783,6.6151557,45.2928885,6.6153081,45.2926843,6.6153742,45.2925586,6.6154827,45.2923711,6.6155199,45.2922467,6.6154393,45.2919109,6.6152625,45.2915859,6.6151571,45.291455,6.6151097,45.2914298,6.6150553,45.2914168,6.615004,45.2914122,6.6149525,45.2914179,6.6148037,45.2914768,6.6147591,45.2914922,6.6147331,45.2914802,6.6147032,45.291453,6.6146971,45.2914057",way/46717811,intermediate,downhill,,,yes,,Lac Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5834142,45.3123169,6.5838995,45.3117502,6.5840147,45.3115769,6.5840028,45.3112929,6.5839946,45.3111704,6.5839782,45.3110386,6.5839081,45.310915,6.5837912,45.3108092,6.5834841,45.3106033,6.5839557,45.3105562,6.5842392,45.3106128,6.5843944,45.3108548,6.5844696,45.3110662,6.5844681,45.3112701,6.5842906,45.3116233,6.5841301,45.3119182,6.5839538,45.312143,6.5834142,45.3123169",way/46719332,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.6100818,45.379887,6.6097855,45.3793469,6.6099184,45.3788717,6.6102039,45.3786996,6.6106566,45.3786573,6.6119046,45.3785588,6.6129371,45.3785846,6.6136283,45.3785663,6.6140242,45.3781397,6.6145267,45.3777879,6.6156022,45.3774366,6.6159745,45.3773602,6.6170589,45.3770214,6.6176606,45.376859,6.6182598,45.3768447,6.6187534,45.3767741,6.6191644,45.3766654,6.6194629,45.376528,6.6199293,45.3764718,6.6207577,45.3763857,6.6212882,45.3762134,6.6222451,45.376365,6.6243222,45.37676,6.6215648,45.3770065,6.620418,45.3772389,6.6184189,45.3775839,6.6163314,45.3779989,6.6153699,45.378378,6.6145982,45.3788027,6.6138019,45.3792268,6.6127451,45.3793094,6.6115498,45.3793075,6.6109946,45.3793169,6.610589,45.3793589,6.6102988,45.3794029,6.6102262,45.3794306,6.6101439,45.379462,6.6101108,45.3796885,6.6100818,45.379887",way/46723635,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5882759,45.3724026,6.5879935,45.3724233,6.5876502,45.3727851,6.5873766,45.3729509,6.5870762,45.3728755,6.5868777,45.3729886,6.5861902,45.3727307,6.5861216,45.3724476,6.5859084,45.3720193,6.5857804,45.3717828,6.5873881,45.3715577,6.5878397,45.371331,6.588142,45.3710996,6.588417,45.3709517,6.5890825,45.3706584,6.5896573,45.3705873,6.5900912,45.3707419,6.5904376,45.3709159,6.5906957,45.3711569,6.5910926,45.3718925,6.591341,45.3722789,6.5919202,45.3729129,6.5925377,45.3733226,6.5929706,45.3735845,6.5932625,45.3740064,6.5935445,45.3745914,6.5938037,45.3748922,6.593984,45.3751015,6.5941616,45.3755591,6.5942495,45.3761133,6.5940792,45.3763684,6.5940251,45.3765949,6.5940457,45.3770665,6.5940372,45.3777695,6.5940032,45.3780629,6.5939217,45.3787069,6.593915,45.3792746,6.5939795,45.3794893,6.5942375,45.3796197,6.5945262,45.3796558,6.5953561,45.379444,6.5960632,45.3793338,6.5966758,45.3790083,6.5980575,45.3788346,6.5990034,45.3787297,6.5991728,45.3787304,6.5994358,45.3787314,6.5997249,45.3788099,6.5998381,45.3788407,6.6002244,45.378803,6.6006857,45.378592,6.6011962,45.378777,6.6018213,45.379161,6.6022895,45.3794657,6.6024783,45.3797993,6.6024936,45.3803329,6.6026395,45.3805491,6.6028992,45.3806496,6.603207,45.3807058,6.6034737,45.3806675,6.6039273,45.3805425,6.6047725,45.3800385,6.6056161,45.379579,6.6062508,45.3792039,6.6065973,45.3789349,6.606949,45.3785544,6.6077678,45.3781229,6.6083079,45.3778989,6.6087063,45.3777049,6.6089283,45.3778299,6.6091837,45.3780278,6.6093978,45.3781881,6.6096946,45.3785497,6.6096685,45.3786768,6.6091478,45.3785619,6.6089843,45.3787406,6.6088316,45.3785722,6.6084956,45.3785759,6.6080233,45.3787283,6.607554,45.3789784,6.6067522,45.3794366,6.6057189,45.3799473,6.6047856,45.3805232,6.6043174,45.3808448,6.6037323,45.3811017,6.6030929,45.3811956,6.6026183,45.3811496,6.6022897,45.3810449,6.6020547,45.380811,6.6019246,45.3805098,6.601782,45.38026,6.6016061,45.3800589,6.6012804,45.3799929,6.6006614,45.3800514,6.599979,45.3800602,6.5997831,45.3800318,6.5990224,45.3799211,6.5977205,45.379737,6.5971484,45.3796815,6.5960635,45.3798101,6.5951067,45.380118,6.5946025,45.3802009,6.5942876,45.3801383,6.5939989,45.3799303,6.5937553,45.3795669,6.5936637,45.3791792,6.5937859,45.3782513,6.5937384,45.3774833,6.5936331,45.3767271,6.5933955,45.3760528,6.5929245,45.3753277,6.5925837,45.3746222,6.5917432,45.3739759,6.5909899,45.3731642,6.5907528,45.3728179,6.5900053,45.3727119,6.5885701,45.372465,6.5882759,45.3724026",way/46723638,intermediate,downhill,,,yes,,Marcassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5739279,45.2839841,6.5742059,45.2845673,6.5743755,45.2851501,6.5743306,45.285617,6.5743132,45.2861244,6.5743205,45.2863263,6.5741876,45.2862784,6.5741489,45.2862645,6.5740655,45.286257,6.5738534,45.2862378,6.5737992,45.2862402,6.5738067,45.2859822,6.5735272,45.2857415,6.5729917,45.2855396,6.5731449,45.2853685,6.5737232,45.2856746,6.5739568,45.2859682,6.5740865,45.2859753,6.5742462,45.285152,6.574099,45.2846025,6.5737948,45.2841593,6.5739279,45.2839841",way/46733309,novice,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5649926,45.326679,6.5660547,45.3250518,6.5662305,45.3247824,6.5677517,45.325719,6.5691673,45.3257754,6.5699067,45.3274656,6.5694454,45.3276035,6.5684701,45.3278952,6.5678503,45.3266416,6.5672296,45.3263847,6.5666108,45.3263599,6.5649926,45.326679",way/47371318,,snow_park,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5635805,45.3114139,6.5646279,45.3116275,6.5657626,45.3117831,6.5667382,45.3120269,6.5683172,45.3121491,6.569207,45.312339,6.5700215,45.312801,6.5713483,45.3135823,6.5717346,45.3136495,6.5719951,45.3136948,6.5726623,45.3137157,6.5751978,45.3140715,6.5762743,45.3144677,6.5764057,45.3144707,6.5768834,45.3146853,6.5788844,45.3152238,6.5788177,45.315506,6.5783546,45.3155199,6.5779893,45.3156407,6.5774825,45.315244,6.5759973,45.3149236,6.5745925,45.3146219,6.5739457,45.3144641,6.5732854,45.3143822,6.5719867,45.3143005,6.5713155,45.3141801,6.5709539,45.3139993,6.5701359,45.3137273,6.5692016,45.3136151,6.5681077,45.313134,6.5677203,45.3127259,6.566895,45.3125727,6.5656452,45.3123751,6.5646006,45.3120737,6.5632015,45.3118436,6.5635805,45.3114139",way/47828887,intermediate,downhill,,,yes,,4 Vents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5711868,45.3311478,6.570571,45.3310622,6.5692775,45.3309985,6.5687892,45.330984,6.568301,45.331001,6.5676649,45.3311658,6.5670689,45.3312627,6.5667675,45.3312686,6.5664481,45.3312328,6.5662042,45.3310017,6.5658854,45.3304446,6.5650364,45.3297306,6.564274,45.3293415,6.5633501,45.3291829,6.5627092,45.3291981,6.5616876,45.3292675,6.5618079,45.3289441,6.563073,45.328814,6.5642304,45.3289938,6.5644833,45.3290316,6.5650896,45.3294164,6.5660474,45.3301911,6.5666473,45.3307599,6.5669068,45.3308167,6.5673449,45.3307917,6.5685827,45.3305273,6.5698081,45.3304453,6.5704951,45.3305513,6.5711392,45.3306559,6.5711868,45.3311478",way/47906481,intermediate,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5592968,45.3274341,6.5591342,45.3273259,6.5589004,45.3272918,6.5576326,45.3272479,6.5559185,45.3271968,6.5540215,45.3272261,6.5541818,45.3267056,6.5545793,45.3266841,6.5549825,45.3266955,6.5557716,45.3267421,6.5561755,45.326766,6.5580659,45.3267844,6.5592954,45.3268168,6.5596169,45.3271031,6.559864,45.3275036,6.559881,45.3277592,6.5599662,45.3280404,6.5609036,45.3284495,6.5615398,45.3286903,6.5618079,45.3289441,6.5616876,45.3292675,6.5613676,45.3289535,6.5612274,45.3288159,6.5608951,45.3286966,6.5599577,45.3283643,6.5596564,45.3281291,6.5594545,45.3278398,6.5593617,45.327605,6.5592968,45.3274341",way/48036618,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5777424,45.3137557,6.57843,45.3141819,6.5779608,45.3140536,6.5776601,45.3141261,6.5773937,45.3142781,6.5768834,45.3146853,6.5764057,45.3144707,6.5769257,45.3140824,6.5772139,45.3138776,6.5775704,45.3137266,6.5777424,45.3137557",way/48036896,intermediate,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5538519,45.3528654,6.5541734,45.352528,6.554221,45.3519833,6.5543611,45.3515767,6.554586,45.3512688,6.5548794,45.3509179,6.5560435,45.3498338,6.5599942,45.3473609,6.5602006,45.3470657,6.5603486,45.3466657,6.5606965,45.3455067,6.5608609,45.3451247,6.5616617,45.3443427,6.56186,45.3439725,6.5620991,45.3435451,6.5623915,45.3432552,6.5633197,45.3424519,6.5644069,45.341857,6.5647526,45.3416409,6.5651791,45.3414712,6.5658904,45.3411792,6.5662233,45.3410842,6.5663374,45.341054,6.5668582,45.340916,6.5676708,45.3407422,6.5690274,45.3405297,6.5696352,45.340234,6.5701036,45.3396203,6.5702276,45.3393976,6.570589,45.3389216,6.5714318,45.3377989,6.5711132,45.3374667,6.5716461,45.3373513,6.5726558,45.338253,6.5727826,45.3383476,6.5727703,45.3386311,6.5727547,45.3389118,6.5715206,45.3392486,6.5708737,45.3397674,6.5705142,45.3400557,6.5701015,45.3402838,6.5698282,45.340549,6.5693175,45.3407844,6.56721,45.3413357,6.566133,45.3416174,6.564579,45.3422428,6.5633867,45.3429149,6.5627395,45.3434355,6.5625022,45.3440675,6.5620451,45.3446992,6.5612779,45.3452351,6.5609671,45.3468753,6.5607796,45.3471705,6.5604978,45.3474463,6.5596111,45.3480321,6.5562798,45.3501173,6.5550121,45.3513002,6.5548108,45.3516827,6.5547174,45.3520178,6.554804,45.3525047,6.5545365,45.3528384,6.5541646,45.3533093,6.5538519,45.3528654",way/48413544,easy,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
