latitude,longitude,altitude,geometry,coordinates,@id,aerialway,building,network,operator,public_transport,source,wall,layer,aerialway:access,ele,name,aerialway:summer:access,internet_access,ele:local,area,aerialway:bubble,aerialway:capacity,aerialway:duration,aerialway:length,aerialway:occupancy,ref,oneway,aerialway:heating,comment,aerialway:chair_lift:occupancy,aerialway:gondola:occupancy,alt_name,covered,opening_hours,note,charge,playground,website,access,construction,maxspeed,proposed:aerialway,start_date
,,,Polygon,"6.5622018,45.2950774,6.5621553,45.2950054,6.562249,45.2949747,6.562365,45.2948402,6.5624637,45.2948817,6.5623364,45.2950333,6.5622018,45.2950774",way/431571141,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5645498,45.2939122,6.5647056,45.2939102,6.5650866,45.2942878,6.5650231,45.2943832,6.5648099,45.2943132,6.5647524,45.2944022,6.5646001,45.2943522,6.5645033,45.2943618,6.5644559,45.2943238,6.5643813,45.294264,6.5644152,45.2941972,6.5644141,45.2940803,6.5645524,45.2940777,6.5645498,45.2939122",way/654449478,station,yes,,SETAM,station,,,,both,,,both,wlan,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5614751,45.2951432,6.5613388,45.2949722,6.5614351,45.2949343,6.5615712,45.2951053,6.5614751,45.2951432",way/661002645,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5700177,45.2955688,6.5700796,45.2954193,6.5701802,45.29544,6.5701182,45.2955894,6.5700177,45.2955688",way/661002646,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5737318,45.286346,6.573786,45.2862131,6.5738292,45.2862216,6.5738383,45.2861926,6.5739648,45.2862259,6.5739528,45.2862259,6.5739256,45.2862393,6.5739035,45.2862937,6.5739448,45.2863019,6.5739323,45.286338,6.573888,45.2863282,6.5738684,45.2863742,6.5738259,45.2863654,6.5737758,45.2863551,6.5737318,45.286346",way/661002648,station,yes,,SETAM,station,,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5709651,45.2461547,6.570704,45.2460707,6.5707345,45.2460236,6.5709957,45.2461076,6.5709651,45.2461547",way/661014607,station,yes,,SETAM,station,,no,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5702143,45.2468928,6.5701552,45.2466587,6.5702525,45.2466465,6.5703116,45.2468807,6.5702143,45.2468928",way/661014608,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5876315,45.2512828,6.5876664,45.25123,6.5878825,45.2513009,6.5878477,45.2513536,6.5876315,45.2512828",way/661014610,station,yes,,SETAM,station,,no,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5869956,45.2506353,6.5869455,45.2506152,6.587,45.2505478,6.5870501,45.2505679,6.5869956,45.2506353",way/661014611,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5684705,45.2806826,6.5682642,45.2809314,6.5682892,45.2809418,6.5682174,45.2810238,6.5680342,45.2809472,6.5680739,45.2808989,6.5680368,45.2808836,6.5681092,45.2807935,6.5681508,45.2808056,6.5683103,45.2806145,6.5684705,45.2806826",way/674081643,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5513086,45.2812292,6.5513046,45.2812145,6.5513863,45.2811824,6.5514543,45.281268,6.5513732,45.2812999,6.5513358,45.2812528,6.5513083,45.28127,6.5514173,45.2814101,6.5513269,45.2814418,6.5511991,45.2812722,6.5513086,45.2812292",way/674081648,station,yes,,SETAM,station,,no,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.549633,45.2864507,6.5495757,45.2866158,6.5494696,45.2865967,6.5495273,45.2864329,6.549633,45.2864507",way/674081651,station,yes,,SETAM,station,,no,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5602215,45.26395,6.5601653,45.2635528,6.5602828,45.2635463,6.5603377,45.2639422,6.5602215,45.26395",way/674081655,station,yes,,,station,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5728871,45.2826398,6.5727477,45.2825807,6.5727904,45.28253,6.5727632,45.2825181,6.572869,45.2823933,6.5728967,45.2824045,6.5729212,45.282378,6.5730306,45.2823891,6.5730158,45.2824581,6.5730359,45.2824667,6.5728871,45.2826398",way/674081670,station,yes,,SETAM,station,,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5719639,45.2952332,6.5718879,45.2952192,6.5718827,45.2952181,6.5718718,45.2952139,6.571865,45.2952096,6.5718598,45.2952051,6.5718558,45.2952001,6.5718528,45.295195,6.5718496,45.295188,6.571848,45.2951808,6.5718517,45.2951666,6.571862,45.2951555,6.5718763,45.2951473,6.5718913,45.2951431,6.571913,45.2951426,6.5720421,45.29517,6.5722163,45.2952786,6.5721374,45.2953421,6.5719639,45.2952332",way/674081678,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5441998,45.3029655,6.5442525,45.3027846,6.5443454,45.302798,6.5442927,45.3029789,6.5441998,45.3029655",way/674081692,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.6143861,45.2917027,6.6138191,45.2917554,6.6137946,45.2916305,6.6142402,45.291592,6.6142501,45.2916438,6.6143732,45.2916321,6.6143861,45.2917027",way/674081694,station,yes,,SETAM,station,,no,,both,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5818441,45.3124302,6.5816735,45.3123837,6.5817435,45.3122682,6.5819115,45.3123166,6.5818441,45.3124302",way/674086085,station,yes,,SETAM,station,,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5887092,45.3056989,6.5886189,45.3056423,6.5886447,45.3056165,6.5885325,45.3055474,6.5886288,45.3054699,6.5887449,45.3055411,6.5887807,45.3055111,6.588873,45.3055676,6.5887092,45.3056989",way/674086088,station,yes,,SETAM,station,,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5868513,45.304901,6.5869295,45.3050627,6.5868273,45.3050872,6.5867515,45.304925,6.5868513,45.304901",way/674086089,station,yes,,SETAM,station,,no,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5917897,45.2720855,6.5919834,45.2721388,6.5918573,45.2723659,6.5916637,45.2723126,6.5917897,45.2720855",way/674106263,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5951764,45.2659384,6.5952357,45.2658312,6.5952935,45.2658273,6.5953586,45.2658449,6.5953941,45.2658739,6.5953356,45.265978,6.5951764,45.2659384",way/674106265,station,yes,,SETAM,station,,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.6060695,45.2729279,6.6060129,45.2728829,6.6062308,45.2727438,6.6062868,45.2727898,6.6060695,45.2729279",way/674106268,station,yes,,SETAM,station,,no,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5775651,45.2986479,6.5776357,45.298545,6.5779419,45.2986505,6.5779001,45.2987103,6.5777885,45.2987244,6.5775651,45.2986479",way/674135731,station,yes,,SETAM,station,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5579854,45.3127078,6.5583245,45.3127151,6.5583753,45.3127162,6.5584429,45.3127176,6.558509,45.3127373,6.5585632,45.3127535,6.5588681,45.3128444,6.5588358,45.3129126,6.5584244,45.3128054,6.5579946,45.3127826,6.5579854,45.3127078",way/757850641,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,1,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
